date,stock_code,buy_or_sell
2023-01-12,2308,-1
2023-01-12,2330,1
2023-01-13,2891,1
2023-01-17,2454,1
2023-01-30,2891,1
2023-01-31,2330,1
2023-01-31,1303,1
2023-02-01,2308,1
2023-02-03,2412,-1
2023-02-06,2330,1
2023-02-06,2303,1
2023-02-08,2317,1
2023-02-13,1303,1
2023-02-13,2412,1
2023-02-13,2881,1
2023-02-13,2891,1
2023-02-16,1303,1
2023-02-17,2881,1
2023-02-20,2454,1
2023-02-23,2454,1
2023-02-24,2881,1
2023-03-01,2454,1
2023-03-01,2317,1
2023-03-02,2891,-1
2023-03-03,2881,-1
2023-03-03,2330,-1
2023-03-03,1303,-1
2023-03-07,2891,1
